Year of rut,Sire ID,Sire age (years),Sire weight,Calves sired
1993,4168,1,128,0
1993,4169,1,109,0
1993,4185,1,115,0
1993,4191,1,106,0
1993,4173,1,104,1
1993,4182,1,121,1
1993,4183,1,118,1
1993,4192,1,101,1
1993,4164,2,209,3
1993,41961,2,192,2
1993,4165,3,-,6
1993,4172,3,216,11
1995,6262,1,78,0
1995,6263,1,94,0
1995,6266,1,115,0
1995,6267,1,101,0
1995,6261,1,98,2
1995,6268,1,125,2
1995,6042,2,197,0
1995,6024,3,210,1
1995,6265,3,167,0
,,,,
1995,41961,4,254,9
1995,3995,4,206,8
1996,6444,1,122,0
1996,6445,1,108,0
1996,6446,1,114,0
1996,6447,1,120,0
1996,6451,1,103,0
1996,6452,1,110,0
,,,,
1996,6448,1,89,1
,,,,
1996,6441,2,168,0
,,,,
1996,6442,1,142,0
,,,,
1996,64431,2,172,1
,,,,
1996,6457,3,225,4
,,,,
1996,6458,3,196,12
,,,,
1997,6134,1,151,0
1997,6377,1,133,0
1997,6378,1,113,0
1997,6379,1,106,0
1997,6380,1,98,0
1997,6382,1,129,0
1997,6376,1,121,1
1997,6381,1,122,2
1997,6312,3,213,0
1997,64431,3,210,2
1997,6305,3,221,10
1997,6306,3,186,1
1997,6307,3,206,1
1997,6309,3,-,2
1997,6313,3,206,3
1997,6314,3,214,7
1998,4284,1,104,0
1998,4286,1,127,0
1998,4287,1,97,0
1998,4288,1,116,0
1998,4290,1,112,0
1998,4291,1,99,0
1998,4292,1,124,0
1998,4294,1,114,0
1998,6474,2,176,0
1998,6303,2,173,2
1998,6302,3,216,5
1998,6454,3,219,10
1998,6441,4,204,5
,,,,
1999,503,1,87,0
1999,505,1,93,0
1999,552,1,105,0
1999,551,1,83,3
1999,553,1,103,1
1999,554,1,91,1
1999,506,2,154,5
1999,6310,3,174,13
,,,,
2000,9752,1,116,0
,,,,
2000,9944,1,110,0
,,,,
2000,9946,1,106,0
,,,,
2000,9947,1,102,0
,,,,
2000,9948,1,129,0
,,,,
2000,9949,1,103,0
,,,,
2000,9950,1,110,0
2000,9751,1,120,1
2000,9754,3,171,0
2000,9757,3,170,0
2000,4292,3,186,7
2000,9753,3,179,1
2000,9755,3,-,3
2000,9756,3,203,3
2000,9758,3,226,8
2000,9759,3,167,5
